County,State,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),Percent high school graduate or higher (Population 25 years and over),Percent bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Iowa,Boone,"2,062",127,963,803,169,"18,654",263,826,"6,058","4,036","2,726","3,366","1,379","17,565","4,745","3,234","3,054",941,"3,303","3,129","1,022","7,336","6,970","1,780","4,781","4,412","1,002",15.1%,8.9%,5.4%,2.4%,"41,430","26,982","34,828","40,804","52,196","58,578",625
Iowa,Bremer,"2,909",168,336,"2,155",250,"16,512",191,405,"5,127","2,937","2,401","3,715","1,736","15,916","5,451","2,578","2,425","1,057","3,088","3,020","1,387","5,904","5,791","1,896","4,942","4,680","1,111",26.0%,6.8%,4.3%,1.4%,"45,184","30,625","36,869","41,572","51,692","69,357",631
Iowa,Buchanan,"1,477",253,636,457,131,"14,039",469,383,"5,102","3,053","1,931","2,205",896,"13,187","3,101","2,351","2,216",726,"2,568","2,443",660,"5,315","5,067","1,105","3,805","3,461",610,12.5%,8.1%,6.2%,1.2%,"39,627","35,000","33,513","36,893","53,104","65,125",632
Iowa,Buena Vista,"2,323",319,454,"1,335",215,"12,467","1,559","1,202","3,752","2,145","1,216","1,798",795,"9,706","2,593","2,486","1,993",571,"2,249","1,463",398,"4,713","3,538",843,"3,019","2,712",781,16.6%,8.5%,5.6%,3.8%,"35,214","30,644","31,370","34,226","45,771","60,139",633
Iowa,Butler,951,100,333,425,93,"10,282",198,467,"3,806","2,422","1,522","1,440",427,"9,617","1,867","1,466","1,398",371,"1,665","1,618",463,"3,882","3,643",599,"3,269","2,958",434,26.4%,8.4%,10.0%,4.9%,"39,518","25,375","37,285","36,750","48,819","60,288",361
Iowa,Calhoun,659,76,139,364,80,"6,939",98,324,"2,640","1,551",959,905,462,"6,517","1,367","1,084","1,060",204,"1,092","1,059",244,"2,558","2,403",553,"2,205","1,995",366,26.2%,11.8%,6.6%,1.5%,"33,990","30,125","25,506","35,121","43,214","58,906",365
Iowa,Carroll,"1,653",136,774,624,119,"13,776",519,404,"4,553","3,223","1,850","2,498",729,"12,853","3,227","2,009","1,982",771,"2,255","2,075",626,"5,412","5,239","1,124","4,100","3,557",706,19.2%,11.2%,5.9%,1.8%,"41,280","40,533","31,946","38,964","51,275","73,958",369
Iowa,Cass,824,215,304,297,8,"9,314",272,765,"3,013","2,237",885,"1,506",636,"8,277","2,142","1,277","1,125",444,"1,506","1,238",458,"3,558","3,278",692,"2,973","2,636",548,21.8%,13.1%,8.7%,2.6%,"37,913","26,239","35,181","36,868","41,298","60,000",374
Iowa,Cedar,"1,288",112,575,473,128,"13,072",240,362,"5,149","2,906","1,664","2,039",712,"12,470","2,751","1,976","1,915",466,"2,267","2,171",626,"5,229","5,074","1,138","3,600","3,310",521,9.7%,7.1%,6.3%,3.3%,"43,245","36,250","36,549","41,159","52,669","63,351",379
Iowa,Cerro Gordo,"3,299",295,"1,109","1,699",196,"30,537",657,"1,423","10,261","6,367","4,745","4,779","2,305","28,457","7,084","5,079","4,685","1,413","4,500","4,326","1,117","11,783","11,232","2,648","9,175","8,214","1,906",16.1%,10.8%,6.4%,3.9%,"38,516","30,313","30,420","39,100","52,572","74,254",383
Iowa,Cherokee,651,30,119,489,13,"8,192",249,379,"2,962","1,832",910,"1,240",620,"7,564","1,860","1,165","1,146",346,"1,251","1,039",238,"3,084","2,899",611,"2,692","2,480",665,17.1%,13.0%,10.1%,2.6%,"36,363","47,695","30,910","33,319","43,860","59,180",388
Iowa,Chickasaw,985,171,325,412,77,"8,214",263,262,"3,670","1,361","1,196","1,025",437,"7,689","1,462","1,167","1,131",300,"1,248","1,170",337,"3,337","3,163",550,"2,462","2,225",275,27.8%,10.0%,3.4%,3.5%,"41,115","28,917","39,018","38,446","45,146","65,250",393
Iowa,Clarke,647,40,232,330,45,"6,410",388,543,"2,582","1,283",595,746,273,"5,479","1,019",982,862,221,"1,200",895,236,"2,541","2,207",358,"1,687","1,515",204,28.1%,17.4%,4.6%,4.7%,"36,763","27,260","26,648","41,691","51,953","72,000",397
Iowa,Clay,"1,282",231,454,341,256,"11,227",104,503,"3,678","2,861","1,399","1,896",786,"10,620","2,682","1,801","1,718",407,"1,829","1,721",593,"4,209","3,962","1,112","3,388","3,219",570,10.7%,8.5%,6.2%,3.8%,"37,389","30,407","27,118","39,588","40,708","62,692",398
Iowa,Clayton,"1,139",137,524,420,58,"12,680",431,814,"5,657","2,284","1,331","1,621",542,"11,435","2,163","1,788","1,641",339,"1,749","1,567",395,"5,034","4,663",769,"4,109","3,564",660,32.1%,13.0%,8.7%,3.5%,"35,620","22,697","32,938","35,630","43,841","59,125",402
Iowa,Clinton,"3,486",373,"1,214","1,664",235,"32,711",908,"2,232","12,158","7,333","3,771","4,541","1,768","29,571","6,309","5,088","4,668","1,226","5,356","4,873","1,443","13,087","11,874","2,288","9,180","8,156","1,352",35.4%,11.6%,10.8%,4.1%,"36,325","26,597","33,675","35,375","41,571","65,795",404
Iowa,Crawford,"1,843",284,512,926,121,"10,952",915,"1,077","4,264","2,110",928,"1,198",460,"8,960","1,658","2,234","1,606",360,"1,671","1,323",195,"4,152","3,363",632,"2,895","2,668",471,19.2%,13.0%,15.8%,4.3%,"39,169","40,668","36,339","39,075","36,008","62,389",408
Iowa,Dallas,"6,271",747,"1,811","1,886","1,827","59,174","1,240","1,398","10,862","9,660","6,152","20,343","9,519","56,536","29,862","13,298","12,897","8,312","14,754","14,115","9,155","20,347","19,194","8,994","10,775","10,330","3,401",20.3%,8.8%,3.5%,1.8%,"57,607","30,878","37,718","46,059","68,403","82,164",413
Iowa,Davis,728,480,68,160,20,"5,619",817,190,"1,749","1,032",783,795,253,"4,612","1,048",966,741,289,939,719,146,"2,144","1,776",347,"1,570","1,376",266,21.3%,8.1%,6.7%,0.4%,"42,312","50,048","41,165","38,101","50,125","71,538",416
Iowa,Decatur,"1,361",138,218,934,71,"4,835",178,315,"1,830",860,370,702,580,"4,342","1,282",767,688,282,727,707,217,"1,737","1,541",386,"1,604","1,406",397,28.1%,15.1%,10.9%,4.3%,"34,276","19,957","26,791","34,338","36,814","50,486",419
Iowa,Delaware,"1,268",213,461,454,140,"11,781",283,790,"5,066","2,144","1,445","1,427",626,"10,708","2,053","1,592","1,508",431,"1,898","1,732",459,"4,964","4,675",767,"3,327","2,793",396,20.9%,8.8%,4.4%,4.3%,"40,234","31,354","40,563","37,727","47,566","60,362",421
Iowa,Des Moines,"2,936",332,"1,210","1,201",193,"27,405",495,"1,635","9,088","6,778","3,973","3,632","1,804","25,275","5,436","4,438","4,097","1,009","4,517","4,295","1,157","10,341","9,739","1,704","8,109","7,144","1,566",31.9%,14.0%,10.1%,3.6%,"35,830","16,731","30,315","34,826","52,554","68,520",424
Iowa,Dickinson,"1,140",145,289,593,113,"12,843",179,346,"3,381","2,987","1,812","3,061","1,077","12,318","4,138","1,662","1,655",543,"1,920","1,766",752,"4,769","4,609","1,458","4,492","4,288","1,385",6.4%,3.1%,9.0%,4.4%,"36,545","9,940","32,238","35,218","41,067","63,026",427
Iowa,Dubuque,"9,829","1,031","2,504","4,954","1,340","65,198","1,275","3,112","21,321","12,522","6,513","13,116","7,339","60,811","20,455","12,117","11,575","4,838","11,024","10,463","4,335","24,801","23,360","6,930","17,256","15,413","4,352",13.5%,8.5%,9.2%,5.8%,"41,266","26,031","34,478","37,599","49,565","61,777",434
Iowa,Emmet,941,54,59,753,75,"6,456",278,315,"2,136","1,484","1,040",899,304,"5,863","1,203",940,796,274,978,918,169,"2,570","2,359",424,"1,968","1,790",336,21.1%,8.4%,8.8%,5.1%,"35,342","28,462","34,422","33,220","49,155","65,909",437
Iowa,Fayette,"1,807",186,508,920,193,"13,626",393,748,"5,643","2,788","1,565","1,753",736,"12,485","2,489","2,079","2,001",583,"2,005","1,849",493,"5,347","4,914",784,"4,195","3,721",629,19.2%,11.6%,8.9%,6.3%,"34,270","32,153","29,314","36,084","37,175","59,444",442
