State,County,WICS11,FID
Kansas,Leavenworth,5,836
Kansas,Lincoln,1,838
Kansas,Linn,3,840
Kansas,Logan,1,842
Kansas,Lyon,5,844
Kansas,McPherson,5,846
Kansas,Marion,4,848
Kansas,Marshall,3,850
Kansas,Meade,1,851
Kansas,Miami,5,853
Kansas,Mitchell,1,854
Kansas,Montgomery,7,856
Kansas,Morris,1,858
Kansas,Morton,1,859
Kansas,Nemaha,3,861
Kansas,Neosho,5,862
Kansas,Ness,2,864
Kansas,Norton,3,866
Kansas,Osage,4,867
Kansas,Osborne,2,869
Kansas,Ottawa,1,870
Kansas,Pawnee,1,872
Kansas,Phillips,2,873
Kansas,Pottawatomie,5,876
Kansas,Pratt,2,878
Kansas,Rawlins,1,880
Kansas,Reno,5,882
Kansas,Republic,1,884
Kansas,Rice,3,886
Kansas,Riley,4,888
Kansas,Rooks,2,889
Kansas,Rush,2,891
Kansas,Russell,2,893
Kansas,Saline,5,895
Kansas,Scott,2,897
Kansas,Sedgwick,40,898
Kansas,Seward,3,900
Kansas,Shawnee,16,902
Kansas,Sheridan,1,904
Kansas,Sherman,1,907
Kansas,Smith,2,909
Kansas,Stafford,2,911
Kansas,Stanton,1,913
Kansas,Stevens,1,914
Kansas,Sumner,5,916
Kansas,Thomas,2,917
Kansas,Trego,1,919
Kansas,Wabaunsee,,920
Kansas,Wallace,1,921
Kansas,Washington,4,922
Kansas,Wichita,1,923
Kansas,Wilson,2,925
Kansas,Woodson,1,926
Kansas,Wyandotte,18,927
Kentucky,Adair,5,928
Kentucky,Allen,3,929
Kentucky,Anderson,3,930
Kentucky,Ballard,3,932
Kentucky,Barren,11,933
