State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,FID
Indiana,Hamilton,2010,180,119,53,8,0,0,0,122,87,44,0,0,180,0,0,321
Indiana,Hancock,2010,183,120,59,4,0,0,0,105,80,45,0,0,183,0,0,329
Indiana,Hendricks,2010,183,146,37,0,0,0,0,100,67,41,0,0,183,0,0,341
Indiana,Henry,2010,117,65,51,1,0,0,0,107,70,46,0,0,0,117,0,344
Indiana,Howard,2010,112,67,44,1,0,0,0,113,79,43,0,0,0,112,0,348
Indiana,Huntington,2010,182,159,23,0,0,0,0,90,54,41,0,0,182,0,0,352
Indiana,Jackson,2010,172,127,43,2,0,0,0,105,74,45,0,0,172,0,0,355
Indiana,Johnson,2010,183,132,49,2,0,0,0,105,74,44,0,0,183,0,0,370
Indiana,Knox,2010,362,266,92,4,0,0,0,112,71,42,0,0,305,57,0,376
Indiana,LaPorte,2010,242,165,74,2,1,0,0,151,77,44,0,0,170,72,0,392
Indiana,Lake,2010,365,85,263,17,0,0,0,133,90,63,3,13,46,299,4,389
Indiana,Madison,2010,290,176,114,0,0,0,0,100,73,47,0,0,137,153,0,401
Indiana,Marion,2010,365,105,247,13,0,0,0,143,90,60,0,1,91,272,1,409
Indiana,Monroe,2010,303,161,142,0,0,0,0,89,66,49,0,0,0,303,0,422
Indiana,Morgan,2010,181,161,20,0,0,0,0,87,51,40,0,0,181,0,0,430
Indiana,Perry,2010,183,110,67,6,0,0,0,122,93,48,0,0,183,0,0,459
Indiana,Porter,2010,365,169,191,5,0,0,0,133,77,52,0,0,62,281,22,468
