State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,$100K and over,Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Nebraska,Dawson,11925,11456,2187,4593,1968,2675,2805,2543,2942,2014,1654,19448,1466,74,187,2,1180,1024,7886,13513,2928,4948,5266,3751,6421,10703,360,1870,20847,2534,1349
Nebraska,Deuel,839,920,122,228,133,155,168,235,330,207,181,1678,4,25,11,0,3,38,166,1527,226,501,557,245,230,792,37,192,1503,256,1351
Nebraska,Dixon,2806,2785,543,958,410,485,610,672,810,648,455,5130,3,22,18,0,206,212,802,4683,597,1224,1077,1261,1432,2639,25,323,5251,340,1353
Nebraska,Dodge,17960,18056,2870,6369,3342,3677,4168,4178,4880,3666,2866,33517,381,295,234,69,474,1046,4939,29851,4333,8051,6945,7232,8936,16339,735,3171,32839,3177,1354
Nebraska,Douglas,274375,284496,50570,100537,53615,76578,74909,65797,65418,43907,27540,432377,60154,2670,22858,238,14723,25851,71685,385208,58979,97749,96727,85629,212916,270870,10306,55141,506091,52780,1358
Nebraska,Dundy,987,906,181,297,155,187,213,219,303,203,135,1877,2,1,0,0,9,4,170,1719,246,507,440,200,488,891,9,177,1713,180,1360
Nebraska,Fillmore,2677,2643,324,740,406,521,571,711,865,660,522,5169,3,8,50,0,21,69,184,5032,564,1046,928,1078,1704,2590,25,459,5049,271,1363
Nebraska,Franklin,1436,1472,202,374,199,246,296,313,523,409,346,2801,7,1,10,9,29,51,70,2770,498,713,819,297,566,1275,5,297,2723,185,1369
Nebraska,Frontier,1352,1275,186,409,241,240,250,234,401,346,320,2523,26,5,2,0,9,62,54,2492,304,547,511,565,592,1104,57,205,2398,229,1371
Nebraska,Furnas,2309,2328,355,731,336,369,475,548,701,635,487,4489,7,6,16,1,36,82,212,4326,614,897,1354,805,962,2037,18,374,4292,345,1374
Nebraska,Gage,10773,10478,1406,3754,1400,2114,2459,2603,3301,2223,1991,20452,117,146,123,0,116,297,585,20005,3049,4721,3506,3596,6090,9716,227,1934,20010,1241,1378
Nebraska,Garden,933,934,88,340,46,147,217,219,319,276,215,1826,0,8,4,0,15,14,92,1749,356,581,407,235,283,747,3,198,1612,255,1381
Nebraska,Garfield,1097,930,149,316,143,215,198,183,322,272,229,1976,2,0,3,0,34,12,40,1957,267,486,735,140,399,929,0,132,1952,75,1391
Nebraska,Gosper,1027,939,53,337,44,167,196,256,372,364,177,1934,4,1,8,4,1,14,80,1855,216,339,601,275,535,872,8,155,1849,117,1393
